version,split,class_name,image_name,mse,psnr,ssim,used_blocks
v2_adaptive,train,glioma,Tr-gl_1027.jpg,0.0053253173828125,70.8673486453243,0.9999306328743298,5
v2_adaptive,train,glioma,Tr-gl_1028.jpg,0.0081329345703125,69.02833082465037,0.9998984122711739,3
v2_adaptive,train,glioma,Tr-gl_1029.jpg,0.0060272216796875,70.32963195865149,0.999957205031463,3
v2_adaptive,train,glioma,Tr-gl_103.jpg,0.006866455078125,69.76347777716266,0.9999060308364897,4
v2_adaptive,train,glioma,Tr-gl_1030.jpg,0.0169525146484375,65.83846232550742,0.9997537288995524,4
v2_adaptive,train,glioma,Tr-gl_1031.jpg,0.0104522705078125,67.93869719999184,0.9998301936527432,4
v2_adaptive,train,glioma,Tr-gl_1032.jpg,0.0050506591796875,71.09732297715891,0.9999508407958165,2
v2_adaptive,train,glioma,Tr-gl_1033.jpg,0.008087158203125,69.0528442189082,0.9999221807098563,2
v2_adaptive,train,glioma,Tr-gl_1034.jpg,0.004547119140625,71.55344027415354,0.9999481456448809,4
v2_adaptive,train,glioma,Tr-gl_1035.jpg,0.0075531005859375,69.3495509255804,0.9999448312710919,1
v2_adaptive,train,glioma,Tr-gl_1036.jpg,0.0076904296875,69.27129755046084,0.9998866077601107,2
v2_adaptive,train,glioma,Tr-gl_1037.jpg,0.0042572021484375,71.83956088218012,0.9999899735523817,0
v2_adaptive,train,glioma,Tr-gl_1038.jpg,0.0049896240234375,71.15012538831324,0.9999467125298358,2
v2_adaptive,train,glioma,Tr-gl_1039.jpg,0.0042877197265625,71.8085397158653,0.9999522381647502,4
v2_adaptive,train,glioma,Tr-gl_104.jpg,0.0073089599609375,69.49224778077047,0.9999398449250858,1
v2_adaptive,train,glioma,Tr-gl_1040.jpg,0.0038604736328125,72.26439770315791,0.9999382877780476,4
v2_adaptive,train,glioma,Tr-gl_1041.jpg,0.0075225830078125,69.36713372214379,0.9998777835906302,4
v2_adaptive,train,glioma,Tr-gl_1042.jpg,0.0085296630859375,68.82148483605187,0.9998584372577919,2
v2_adaptive,train,glioma,Tr-gl_1043.jpg,0.0057373046875,70.54372446563949,0.9999804081577631,0
v2_adaptive,train,glioma,Tr-gl_1044.jpg,0.011871337890625,67.38580694501921,0.9998372258293821,1
v2_adaptive,train,glioma,Tr-gl_1045.jpg,0.013641357421875,66.78222772695692,0.9997966684366658,3
v2_adaptive,train,glioma,Tr-gl_1046.jpg,0.0081024169921875,69.0446577041014,0.9998494985133327,4
v2_adaptive,train,glioma,Tr-gl_1047.jpg,0.0155181884765625,66.22239338568865,0.9997741959535085,2
v2_adaptive,train,glioma,Tr-gl_1048.jpg,0.00714111328125,69.59314438417485,0.9999149991385186,4
v2_adaptive,train,glioma,Tr-gl_1049.jpg,0.0099334716796875,68.15979302923418,0.9998848740514115,4
v2_adaptive,train,glioma,Tr-gl_105.jpg,0.0097808837890625,68.22702261972792,0.9998611657957844,4
v2_adaptive,train,glioma,Tr-gl_1050.jpg,0.0102996826171875,68.00256518660585,0.9998678359486409,4
v2_adaptive,train,glioma,Tr-gl_1051.jpg,0.0066070556640625,69.93072395138243,0.999927253788391,2
v2_adaptive,train,glioma,Tr-gl_1052.jpg,0.006500244140625,70.00150692388891,0.9999588582575172,1
v2_adaptive,train,glioma,Tr-gl_1053.jpg,0.0033416748046875,72.89116176651491,0.9999896070774557,0
v2_adaptive,train,glioma,Tr-gl_1054.jpg,0.0086517333984375,68.75977232598703,0.9998925873638619,4
v2_adaptive,train,glioma,Tr-gl_1055.jpg,0.0044708251953125,71.626926711375,0.9999880128606109,2
v2_adaptive,train,glioma,Tr-gl_1056.jpg,0.0139007568359375,66.70041914518612,0.99968171010293,3
v2_adaptive,train,glioma,Tr-gl_1057.jpg,0.014251708984375,66.59213415261516,0.9998122668060607,2
v2_adaptive,train,glioma,Tr-gl_1058.jpg,0.020721435546875,64.96660521547126,0.9994217614941878,7
v2_adaptive,train,glioma,Tr-gl_1059.jpg,0.0054931640625,70.73257790724323,0.9999668821881698,1
v2_adaptive,train,glioma,Tr-gl_106.jpg,0.0071258544921875,69.60243410925497,0.999896994430832,4
v2_adaptive,train,glioma,Tr-gl_1060.jpg,0.0210113525390625,64.90626351234685,0.9996368719404147,5
v2_adaptive,train,glioma,Tr-gl_1061.jpg,0.0080108642578125,69.09400988085652,0.9999199634074473,1
v2_adaptive,train,glioma,Tr-gl_1062.jpg,0.005218505859375,70.95534185435474,0.9999612991510218,2
v2_adaptive,train,glioma,Tr-gl_1063.jpg,0.0103759765625,67.97051378785373,0.999833096850344,2
v2_adaptive,train,glioma,Tr-gl_1064.jpg,0.0170745849609375,65.8073020496326,0.9997786437352454,2
v2_adaptive,train,glioma,Tr-gl_1065.jpg,0.0055389404296875,70.69653666455497,0.9999515887112678,2
v2_adaptive,train,glioma,Tr-gl_1066.jpg,0.0057220458984375,70.5552902376389,0.9999339024615682,4
v2_adaptive,train,glioma,Tr-gl_1067.jpg,0.00848388671875,68.84485499909552,0.9999256386528023,1
v2_adaptive,train,glioma,Tr-gl_1068.jpg,0.018096923828125,65.55475602463366,0.9997116073404715,3
v2_adaptive,train,glioma,Tr-gl_1069.jpg,0.006195068359375,70.21034257914415,0.9999283955680582,2
v2_adaptive,train,glioma,Tr-gl_107.jpg,0.0117645263671875,67.42505913440652,0.9998170988215345,3
v2_adaptive,train,glioma,Tr-gl_1070.jpg,0.003814697265625,72.31620282819571,0.9999711429203421,4
v2_adaptive,train,glioma,Tr-gl_1071.jpg,0.008544921875,68.8137226448541,0.9998769789146581,4
v2_adaptive,train,glioma,Tr-gl_1072.jpg,0.00457763671875,71.52439036771946,0.9999652877435112,1
v2_adaptive,train,glioma,Tr-gl_1073.jpg,0.0053863525390625,70.81785586103787,0.9999564028367621,1
v2_adaptive,train,glioma,Tr-gl_1074.jpg,0.0108642578125,67.77080297854754,0.9998378862518568,2
v2_adaptive,train,glioma,Tr-gl_1075.jpg,0.025543212890625,64.05804837834368,0.9994675653361811,3
v2_adaptive,train,glioma,Tr-gl_1076.jpg,0.0079193115234375,69.14392933643151,0.9998048676833067,4
v2_adaptive,train,glioma,Tr-gl_1077.jpg,0.0059356689453125,70.39610690165902,0.9999098249757498,4
v2_adaptive,train,glioma,Tr-gl_1078.jpg,0.006683349609375,69.8808618098751,0.9999821317684834,0
v2_adaptive,train,glioma,Tr-gl_1079.jpg,0.009368896484375,68.41391920350442,0.9997743670700754,5
v2_adaptive,train,glioma,Tr-gl_108.jpg,0.00518798828125,70.98081374449355,0.9999431602910956,4
v2_adaptive,train,glioma,Tr-gl_1080.jpg,0.009521484375,68.34375701809185,0.9999055980249741,1
v2_adaptive,train,glioma,Tr-gl_1081.jpg,0.0126190185546875,67.12054781939062,0.9997011642722493,2
v2_adaptive,train,glioma,Tr-gl_1082.jpg,0.0124664306640625,67.17338234959195,0.9996713872822609,4
v2_adaptive,train,glioma,Tr-gl_1083.jpg,0.0080108642578125,69.09400988085652,0.9999053661874899,2
v2_adaptive,train,glioma,Tr-gl_1084.jpg,0.00787353515625,69.16910589864398,0.9998347655606727,4
v2_adaptive,train,glioma,Tr-gl_1085.jpg,0.0061187744140625,70.26415918871427,0.9998760648769313,4
v2_adaptive,train,glioma,Tr-gl_1086.jpg,0.0150146484375,66.36565193060268,0.9997558748409371,4
v2_adaptive,train,glioma,Tr-gl_1087.jpg,0.016998291015625,65.826751006539,0.9996332009441172,2
v2_adaptive,train,glioma,Tr-gl_1088.jpg,0.009124755859375,68.52859107503198,0.9998943775225457,1
v2_adaptive,train,glioma,Tr-gl_1089.jpg,0.0434417724609375,61.75172824344655,0.9983327516517075,10
v2_adaptive,train,glioma,Tr-gl_109.jpg,0.0032958984375,72.95106540340679,0.9999525638553712,4
v2_adaptive,train,glioma,Tr-gl_1090.jpg,0.010650634765625,67.85704868868449,0.9998029253457869,3
v2_adaptive,train,glioma,Tr-gl_1091.jpg,0.00531005859375,70.87981047545028,0.9999767230558174,2
v2_adaptive,train,glioma,Tr-gl_1092.jpg,0.0196990966796875,65.18634049225189,0.9994939038493803,7
v2_adaptive,train,glioma,Tr-gl_1093.jpg,0.0178985595703125,65.6026227937608,0.9996372194598128,3
v2_adaptive,train,glioma,Tr-gl_1094.jpg,0.0041656494140625,71.93397644450853,0.999973218102201,4
v2_adaptive,train,glioma,Tr-gl_1095.jpg,0.0045166015625,71.58268580432672,0.9999563086494101,2
v2_adaptive,train,glioma,Tr-gl_1096.jpg,0.0034942626953125,72.69724809151722,0.9999412988607204,4
v2_adaptive,train,glioma,Tr-gl_1097.jpg,0.00714111328125,69.59314438417485,0.9999118479659486,4
v2_adaptive,train,glioma,Tr-gl_1098.jpg,0.006072998046875,70.29677219417921,0.9999101617983772,4
v2_adaptive,train,glioma,Tr-gl_1099.jpg,0.009490966796875,68.3576990680079,0.9998495868432928,4
v2_adaptive,train,glioma,Tr-gl_11.jpg,0.005126953125,71.03221014101766,0.9999639209799985,2
v2_adaptive,train,glioma,Tr-gl_110.jpg,0.0186614990234375,65.42133834455325,0.9994214539797477,4
v2_adaptive,train,glioma,Tr-gl_1100.jpg,0.0085601806640625,68.80597430235449,0.9998661105503116,4
v2_adaptive,train,glioma,Tr-gl_1101.jpg,0.00897216796875,68.60182965415471,0.9998686924251983,4
v2_adaptive,train,glioma,Tr-gl_1102.jpg,0.0297088623046875,63.401943399715776,0.999326429205871,8
v2_adaptive,train,glioma,Tr-gl_1103.jpg,0.018402099609375,65.48212983687476,0.99965949789849,7
v2_adaptive,train,glioma,Tr-gl_1104.jpg,0.0140838623046875,66.64358590465697,0.9995870320167436,2
v2_adaptive,train,glioma,Tr-gl_1105.jpg,0.0048675537109375,71.25769608434427,0.9999865476242978,0
v2_adaptive,train,glioma,Tr-gl_1106.jpg,0.0049285888671875,71.20357769160506,0.999968928351801,2
v2_adaptive,train,glioma,Tr-gl_1107.jpg,0.0048065185546875,71.3124973770201,0.9999890940743679,0
